,file_id,r_bottom,displacement,r_upper,energy_values_experimental,adjusted_energy
2672,r60_t4.8_t4.8_220_transformed.cif,60,4.8,220,-936.02262,0.6171800000000758
2673,r60_t4.8_t4.8_240_transformed.cif,60,4.8,240,-936.03971,0.6000900000000229
2674,r60_t4.8_t4.8_260_transformed.cif,60,4.8,260,-936.07629,0.5635100000000648
2675,r60_t4.8_t4.8_280_transformed.cif,60,4.8,280,-936.06412,0.5756800000000339
2676,r60_t4.8_t4.8_300_transformed.cif,60,4.8,300,-936.1064,0.5334000000000287
2677,r60_t4.8_t4.8_320_transformed.cif,60,4.8,320,-936.21081,0.4289899999999988
2678,r60_t4.8_t4.8_340_transformed.cif,60,4.8,340,-936.12647,0.5133299999999963
2679,r60_t4.8_t4.8_40_transformed.cif,60,4.8,40,-936.03918,0.600620000000049
2680,r60_t4.8_t4.8_60_transformed.cif,60,4.8,60,-936.12168,0.5181200000000672
2681,r60_t4.8_t4.8_80_transformed.cif,60,4.8,80,-936.11985,0.5199499999999944
2682,r60_t6.0_t6.0_0_transformed.cif,60,6.0,0,-936.08843,0.5513700000000199
2683,r60_t6.0_t6.0_100_transformed.cif,60,6.0,100,-936.12122,0.5185800000000427
2684,r60_t6.0_t6.0_120_transformed.cif,60,6.0,120,-936.21098,0.428820000000087
2685,r60_t6.0_t6.0_140_transformed.cif,60,6.0,140,-936.1458,0.4940000000000282
2686,r60_t6.0_t6.0_160_transformed.cif,60,6.0,160,-936.09514,0.5446600000000217
2687,r60_t6.0_t6.0_180_transformed.cif,60,6.0,180,-936.0185,0.6213000000000193
2688,r60_t6.0_t6.0_200_transformed.cif,60,6.0,200,-935.9913,0.6485000000000127
2689,r60_t6.0_t6.0_20_transformed.cif,60,6.0,20,-936.03582,0.6039800000000923
2690,r60_t6.0_t6.0_220_transformed.cif,60,6.0,220,-936.01248,0.6273200000000543
2691,r60_t6.0_t6.0_240_transformed.cif,60,6.0,240,-936.04255,0.5972500000000309
2692,r60_t6.0_t6.0_260_transformed.cif,60,6.0,260,-936.0808,0.5590000000000828
2693,r60_t6.0_t6.0_280_transformed.cif,60,6.0,280,-936.0627,0.5771000000000868
2694,r60_t6.0_t6.0_300_transformed.cif,60,6.0,300,-936.10682,0.532980000000066
2695,r60_t6.0_t6.0_320_transformed.cif,60,6.0,320,-936.1713,0.4685000000000627
2696,r60_t6.0_t6.0_340_transformed.cif,60,6.0,340,-936.18076,0.4590400000000727
2697,r60_t6.0_t6.0_40_transformed.cif,60,6.0,40,-936.03976,0.6000400000000354
2698,r60_t6.0_t6.0_60_transformed.cif,60,6.0,60,-936.10765,0.5321500000000015
2699,r60_t6.0_t6.0_80_transformed.cif,60,6.0,80,-936.09532,0.5444800000000214
2700,r60_t7.2_t7.2_0_transformed.cif,60,7.2,0,-936.0863,0.5534999999999854
2701,r60_t7.2_t7.2_100_transformed.cif,60,7.2,100,-936.13968,0.5001200000000381
2702,r60_t7.2_t7.2_120_transformed.cif,60,7.2,120,-936.20358,0.4362200000000484
2703,r60_t7.2_t7.2_140_transformed.cif,60,7.2,140,-936.09219,0.547610000000077
2704,r60_t7.2_t7.2_160_transformed.cif,60,7.2,160,-936.04134,0.5984600000000455
2705,r60_t7.2_t7.2_180_transformed.cif,60,7.2,180,-935.99941,0.6403900000000249
2706,r60_t7.2_t7.2_200_transformed.cif,60,7.2,200,-935.99209,0.6477100000000746
2707,r60_t7.2_t7.2_20_transformed.cif,60,7.2,20,-936.04451,0.5952900000000909
2708,r60_t7.2_t7.2_220_transformed.cif,60,7.2,220,-936.01786,0.621939999999995
2709,r60_t7.2_t7.2_240_transformed.cif,60,7.2,240,-936.05336,0.5864400000000387
2710,r60_t7.2_t7.2_260_transformed.cif,60,7.2,260,-936.06982,0.5699799999999868
2711,r60_t7.2_t7.2_280_transformed.cif,60,7.2,280,-936.07437,0.5654299999999921
2712,r60_t7.2_t7.2_300_transformed.cif,60,7.2,300,-936.14161,0.4981900000000223
2713,r60_t7.2_t7.2_320_transformed.cif,60,7.2,320,-936.31395,0.3258500000000595
2714,r60_t7.2_t7.2_340_transformed.cif,60,7.2,340,-936.24485,0.3949499999999943
2715,r60_t7.2_t7.2_40_transformed.cif,60,7.2,40,-936.03457,0.6052300000000059
2716,r60_t7.2_t7.2_60_transformed.cif,60,7.2,60,-936.08881,0.5509900000000698
2717,r60_t7.2_t7.2_80_transformed.cif,60,7.2,80,-936.09173,0.5480700000000525
2718,r60_t8.4_t8.4_0_transformed.cif,60,8.4,0,-936.10884,0.5309600000000501
2719,r60_t8.4_t8.4_100_transformed.cif,60,8.4,100,-936.14953,0.4902700000000095
2720,r60_t8.4_t8.4_120_transformed.cif,60,8.4,120,-936.15159,0.4882099999999809
2721,r60_t8.4_t8.4_140_transformed.cif,60,8.4,140,-936.05924,0.5805599999999913
2722,r60_t8.4_t8.4_160_transformed.cif,60,8.4,160,-936.0121,0.6277000000000044
2723,r60_t8.4_t8.4_180_transformed.cif,60,8.4,180,-935.99183,0.6479699999999866
2724,r60_t8.4_t8.4_200_transformed.cif,60,8.4,200,-936.00297,0.6368300000000318
2725,r60_t8.4_t8.4_20_transformed.cif,60,8.4,20,-936.05286,0.5869400000000269
2726,r60_t8.4_t8.4_220_transformed.cif,60,8.4,220,-936.03802,0.6017800000000761
2727,r60_t8.4_t8.4_240_transformed.cif,60,8.4,240,-936.06105,0.5787500000000136
2728,r60_t8.4_t8.4_260_transformed.cif,60,8.4,260,-936.08621,0.5535899999999856
2729,r60_t8.4_t8.4_280_transformed.cif,60,8.4,280,-936.09621,0.5435899999999947
2730,r60_t8.4_t8.4_300_transformed.cif,60,8.4,300,-936.19818,0.4416200000000572
2731,r60_t8.4_t8.4_320_transformed.cif,60,8.4,320,-936.49669,0.1431100000000924
2732,r60_t8.4_t8.4_340_transformed.cif,60,8.4,340,-936.30792,0.3318800000000692
2733,r60_t8.4_t8.4_40_transformed.cif,60,8.4,40,-936.02399,0.6158100000000104
2734,r60_t8.4_t8.4_60_transformed.cif,60,8.4,60,-936.0849,0.5549000000000888
2735,r60_t8.4_t8.4_80_transformed.cif,60,8.4,80,-936.10961,0.5301900000000614
2736,r60_t9.6_t9.6_0_transformed.cif,60,9.6,0,-936.10251,0.5372899999999845
2737,r60_t9.6_t9.6_100_transformed.cif,60,9.6,100,-936.63388,0.00592000000006
2738,r60_t9.6_t9.6_120_transformed.cif,60,9.6,120,-936.12125,0.5185500000000047
2739,r60_t9.6_t9.6_140_transformed.cif,60,9.6,140,-936.05917,0.580630000000042
2740,r60_t9.6_t9.6_160_transformed.cif,60,9.6,160,-936.01827,0.621530000000007
